state_code,State,District,City,Population (%)
18,West Bengal,South Twenty Four Parganas,Durgapur ,8.94
18,West Bengal,Barddhaman,Asansol,8.46
18,West Bengal,Murshidabad,,7.78
18,West Bengal,Paschim Medinipur,Kharagpur,6.48
18,West Bengal,Hugli,,6.05
18,West Bengal,Nadia,,5.66
18,West Bengal,Purba Medinipur,,5.58
18,West Bengal,Howrah,Howrah,5.31
18,West Bengal,Kolkata,Kolkata,4.93
18,West Bengal,Maldah,,4.37
18,West Bengal,Jalpaiguri,Siliguri,4.24
18,West Bengal,Bankura,,3.94
18,West Bengal,Birbhum,,3.84
18,West Bengal,Uttar Dinajpur,,3.29
18,West Bengal,Puruliya,,3.21
18,West Bengal,Koch Bihar,,3.09
18,West Bengal,Darjeeling,Darjeeling,2.02
18,West Bengal,Dakshin Dinajpur,,1.84
19,Jharkhand,Ranchi,Ranchi ,8.83
19,Jharkhand,Dhanbad,Dhanbad ,8.14
19,Jharkhand,Giridih,,7.41
19,Jharkhand,Purbi Singhbhum,Jamshedpur,6.95
19,Jharkhand,Bokaro,Bokaro Steel City,6.25
19,Jharkhand,Palamu,,5.88
19,Jharkhand,Hazaribagh,,5.26
19,Jharkhand,Pashchimi Singhbhum,,4.55
19,Jharkhand,Deoghar,Deoghar,4.52
19,Jharkhand,Garhwa,,4.01
19,Jharkhand,Dumka,,4.01
19,Jharkhand,Godda,,3.98
19,Jharkhand,Sahibganj,,3.49
19,Jharkhand,Saraikela Kharsawan,,3.23
19,Jharkhand,Chatra,,3.16
19,Jharkhand,Gumla,,3.11
19,Jharkhand,Ramgarh,,2.88
19,Jharkhand,Pakur,,2.73
19,Jharkhand,Jamtara,,2.4
19,Jharkhand,Latehar,,2.2
19,Jharkhand,Kodarma,,2.17
19,Jharkhand,Simdega,,1.82
19,Jharkhand,Khunti,,1.61
19,Jharkhand,Lohardaga,,1.4
20,Orissa,Ganjam,,8.41
20,Orissa,Cuttack,Cuttack,6.25
20,Orissa,Mayurbhanj,,6
20,Orissa,Baleshwar,,5.53
20,Orissa,Khordha,,5.36
20,Orissa,Sundargarh,Rourkela,4.99
20,Orissa,Jajapur,,4.35
20,Orissa,Kendujhur,,4.29
20,Orissa,Puri,Puri,4.05
20,Orissa,Balangir,,3.93
20,Orissa,Kalahandi,,3.76
20,Orissa,Bhadrak,Bhadrak,3.59
20,Orissa,Bargarh,,3.53
20,Orissa,Kendrapara,,3.43
20,Orissa,Koraput,,3.29
20,Orissa,Anugul,,3.03
20,Orissa,Nabarangapur,,2.91
20,Orissa,Dhenkanal,,2.84
20,Orissa,Jagatsinghapur,,2.71
20,Orissa,Sambalpur,Bhubaneswar ,2.48
20,Orissa,Rayagada,,2.31
20,Orissa,Nayagarh,,2.29
20,Orissa,Kandhamal,,1.75
20,Orissa,Malkangiri,,1.46
20,Orissa,Subarnapur,,1.45
20,Orissa,Naupada,,1.45
20,Orissa,Jharsuguda,,1.38
20,Orissa,Gajapati,,1.38
20,Orissa,Baudh,,1.05
20,Orissa,Debagarh,,0.74
21,Chhattisgarh,Raipur,Raipur,15.91
21,Chhattisgarh,Durg,,13.09
21,Chhattisgarh,Bilaspur,Bilaspur,10.43
21,Chhattisgarh,Surguja,Ambikapur,9.24
21,Chhattisgarh,Janjgir Champa,,6.34
21,Chhattisgarh,Rajnandgaon,,6.02
21,Chhattisgarh,Raigarh,,5.85
21,Chhattisgarh,Bastar,,5.53
21,Chhattisgarh,Korba,Korba,4.72
21,Chhattisgarh,Mahasamund,,4.04
21,Chhattisgarh,Jashpur,,3.33
21,Chhattisgarh,Kabeerdham,,3.22
21,Chhattisgarh,Dhamtari,,3.13
21,Chhattisgarh,Uttar Bastar Kanker,,2.93
22,Chhattisgarh,Morena,Bhilai,2.71
21,Chhattisgarh,Koriya,,2.58
21,Chhattisgarh,Dakshin Bastar Dhantewada,,2.09
21,Chhattisgarh,Bijapur,,1
21,Chhattisgarh,Narayanpur,,0.55
22,Madhya Pradesh,Indore,Indore,4.51
22,Madhya Pradesh,Jabalpur,Jabalpur,3.39
22,Madhya Pradesh,Sagar,,3.27
22,Madhya Pradesh,Rewa,Rewa,3.26
22,Madhya Pradesh,Bhopal,Bhopal,3.26
22,Madhya Pradesh,Satna,,3.07
22,Madhya Pradesh,Dhar,,3.01
22,Madhya Pradesh,Chhindwara,,2.88
22,Madhya Pradesh,Gwalior,Gwalior,2.8
22,Madhya Pradesh,Ujjain,Ujjain,2.74
22,Madhya Pradesh,Khargone,,2.58
22,Madhya Pradesh,Chhatarpur,,2.43
22,Madhya Pradesh,Shivpuri,,2.38
22,Madhya Pradesh,Bhind,,2.34
22,Madhya Pradesh,Balaghat,,2.34
22,Madhya Pradesh,Betul,,2.17
22,Madhya Pradesh,Dewas,,2.15
22,Madhya Pradesh,Rajgarh,,2.13
22,Madhya Pradesh,Shajapur,,2.08
22,Madhya Pradesh,Vidisha,,2.01
22,Madhya Pradesh,Ratlam,,2
22,Madhya Pradesh,Tikamgarh,,1.99
22,Madhya Pradesh,Bharwani,,1.91
22,Madhya Pradesh,Seoni,,1.9
22,Madhya Pradesh,Mandsaur,,1.85
22,Madhya Pradesh,Raisen,,1.83
22,Madhya Pradesh,Sehore,Sehore,1.81
22,Madhya Pradesh,Khandwa,,1.8
22,Madhya Pradesh,Katni,,1.78
22,Madhya Pradesh,Damoh,,1.74
22,Madhya Pradesh,Hoshangabad,,1.71
22,Madhya Pradesh,Guna,,1.71
22,Madhya Pradesh,Singrauli,,1.62
22,Madhya Pradesh,Sidhi,,1.55
22,Madhya Pradesh,Narshimhapur,,1.5
22,Madhya Pradesh,Shahdol,,1.47
22,Madhya Pradesh,Mandla,,1.45
22,Madhya Pradesh,Jhabua,,1.41
22,Madhya Pradesh,Panna,,1.4
22,Madhya Pradesh,Ashoknagar,,1.16
22,Madhya Pradesh,Neemuch,,1.14
22,Madhya Pradesh,Datia,,1.08
22,Madhya Pradesh,Burhanpur,,1.04
22,Madhya Pradesh,Anuppur,,1.03
22,Madhya Pradesh,Alirajpur,,1
22,Madhya Pradesh,Dindora,,0.97
22,Madhya Pradesh,Sheopur,,0.95
22,Madhya Pradesh,Umaria,,0.89
22,Madhya Pradesh,Harda,,0.79
23,Gujarat,Ahmedabad,Ahmedabad,11.94
23,Gujarat,Surat,Surat,10.06
23,Gujarat,Vadodara,Vadodara ,6.89
23,Gujarat,Rajkot,Rajkot,6.29
23,Gujarat,Banas Kantha,,5.16
23,Gujarat,Bhavnagar,,4.77
23,Gujarat,Junagadh,,4.54
23,Gujarat,Sabar Kantha,,4.02
23,Gujarat,Panch Mahals,,3.96
23,Gujarat,Kheda,,3.81
23,Gujarat,Jamnagar,,3.57
23,Gujarat,Dohad,,3.52
23,Gujarat,Kachchh,,3.46
23,Gujarat,Anand,,3.46
23,Gujarat,Mahesana,,3.37
23,Gujarat,Surendranagar,,2.91
23,Gujarat,Valsad,,2.82
23,Gujarat,Bharuch,,2.57
23,Gujarat,Amreli,,2.51
23,Gujarat,Gandhinagar,Gandhinagar,2.3
23,Gujarat,Patan,,2.22
23,Gujarat,Navsari,,2.2
23,Gujarat,Tapi,,1.34
23,Gujarat,Narmada,,0.98
23,Gujarat,Porbandar,,0.97
23,Gujarat,The Dangs,,0.38
24,Maharashtra,Thane,Thane,9.84
24,Maharashtra,Pune,Pune,8.39
24,Maharashtra,Mumbai Suburban,,8.33
24,Maharashtra,Nashik,Nashik,5.43
24,Maharashtra,Nagpur,Nagpur,4.14
24,Maharashtra,Ahmadnagar,,4.04
24,Maharashtra,Solapur,,3.84
24,Maharashtra,Jalgaon,,3.76
24,Maharashtra,Kolhapur,,3.45
24,Maharashtra,Aurangabad,Aurangabad,3.29
24,Maharashtra,Nanded,,2.99
24,Maharashtra,Mumbai,Mumbai,2.75
24,Maharashtra,Satara,,2.67
24,Maharashtra,Amravati,,2.57
24,Maharashtra,Sangli,,2.51
24,Maharashtra,Yavatmal,,2.47
24,Maharashtra,Raigarh,Panvel,2.34
24,Maharashtra,Buldana,,2.3
24,Maharashtra,Bid,,2.3
24,Maharashtra,Latur,,2.18
24,Maharashtra,Chandrapur,,1.96
24,Maharashtra,Dhule,,1.83
24,Maharashtra,Jalna,,1.74
24,Maharashtra,Parbhani,,1.63
24,Maharashtra,Akola,,1.61
24,Maharashtra,Osmanabad,,1.48
24,Maharashtra,Nandurbar,,1.47
24,Maharashtra,Ratnagiri,,1.44
24,Maharashtra,Gondiya,,1.18
24,Maharashtra,Wardha,,1.16
24,Maharashtra,Washim,,1.07
24,Maharashtra,Bhandara,,1.07
24,Maharashtra,Hingoli,,1.05
24,Maharashtra,Gadchiroli,,0.95
24,Maharashtra,Sindhudurg,,0.76
25,Goa,North Goa,Panaji,56.08
25,Goa,South Goa,Margao,43.92
26,Andhra Pradesh,East Godavari,,10.51
26,Andhra Pradesh,Guntur,Guntur,9.97
26,Andhra Pradesh,Krishna,Vijayawada,9.21
26,Andhra Pradesh,Visakhapatnam,Visakhapatnam,8.75
26,Andhra Pradesh,Chittoor,Chittoor ,8.5
26,Andhra Pradesh,Anantapur,,8.31
26,Andhra Pradesh,Kurnool,Kurnool ,8.27
26,Andhra Pradesh,West Godavari,,8.03
26,Andhra Pradesh,Prakasam,,6.93
26,Andhra Pradesh,Sri Potti Sriramulu Nellore,,6.04
26,Andhra Pradesh,Y.S.R.,,5.89
26,Andhra Pradesh,Srikakulam,,5.516
26,Andhra Pradesh,Vizianagaram,,4.78
27,Telangana,Hyderabad,Hyderabad,31.43
27,Telangana,Rangareddy,,24.46
27,Telangana,Medchal Malkajgiri,,24.4
27,Telangana,Warangal,Warangal ,17.81
27,Telangana,Nalgonda,,16.18
27,Telangana,Nizamabad,Nizamabad,15.71
27,Telangana,Sangareddy,,15.27
27,Telangana,Mahabubnagar,,14.86
27,Telangana,Khammam,,14.01
27,Telangana,Suryapet,,10.99
27,Telangana,Bhadradri Kothagudem,,10.69
27,Telangana,Siddipet,,10.12
27,Telangana,Karimnagar,Karimnagar,10.05
27,Telangana,Jagital,,9.85
27,Telangana,Kamareddy,,9.72
27,Telangana,Vikarabad,,9.27
27,Telangana,Nagarkurnool,,8.93
27,Telangana,Mancherial,,8.07
27,Telangana,Peddapalli,,7.95
27,Telangana,Mahabubabad,,7.74
27,Telangana,Medak,,7.67
27,Telangana,Yadadri Bhuvanagiri,,7.39
27,Telangana,Jayashankar Bhupalpally,,7.11
27,Telangana,Nirmal,,7.09
27,Telangana,Adilabad,,7.08
27,Telangana,Jogulamba Gadwal,,6.09
27,Telangana,Wanaparthy,,5.77
27,Telangana,Jangaon,,5.66
27,Telangana,Rajanna Sircilla,,5.52
27,Telangana,Komaram Bheem,,5.15
27,Telangana,Mulugu,,2.94
27,Telangana,Narayanpet,,0
28,Karnataka,Bangalore,Bengaluru,15.75
28,Karnataka,Belgaum,,7.82
28,Karnataka,Mysore,Mysore ,4.91
28,Karnataka,Tumkur,,4.38
28,Karnataka,Gulbarga,,4.2
28,Karnataka,Bellary,,4.01
28,Karnataka,Bijapur,,3.56
28,Karnataka,Dakshina Kannada,Mangalore,3.42
28,Karnataka,Davanagere,,3.18
28,Karnataka,Raichur,,3.16
28,Karnataka,Bagalkot,,3.09
28,Karnataka,Dharwad,Hubli-Dharwad ,3.02
28,Karnataka,Mandya,,2.96
28,Karnataka,Hassan,,2.91
28,Karnataka,Shimoga,,2.87
28,Karnataka,Bidar,,2.79
28,Karnataka,Chitradurga,,2.72
28,Karnataka,Haveri,,2.62
28,Karnataka,Kolar,,2.51
28,Karnataka,Uttara Kannada,,2.35
28,Karnataka,Koppal,,2.28
28,Karnataka,Chikkaballapura,,2.05
28,Karnataka,Udupi,,1.93
28,Karnataka,Yadgir,,1.92
28,Karnataka,Chikmagalur,,1.86
28,Karnataka,Ramanagara,,1.77
28,Karnataka,Gadag,,1.74
28,Karnataka,Chamarajanagar,,1.67
28,Karnataka,Kodagu,,0.91
29,Kerala,Malappuram,,12.31
29,Kerala,Thiruvananthapuram,Thiruvananthapuram ,9.88
29,Kerala,Ernakulam,Kochi,9.83
29,Kerala,Thrissur,,9.34
29,Kerala,Kozhikode,Kozhikode ,9.24
29,Kerala,Palakkad,,8.41
29,Kerala,Kollam,Kollam ,7.89
29,Kerala,Kannur,,7.55
29,Kerala,Alappuzha,,6.37
29,Kerala,Kottayam,,5.91
29,Kerala,Kasaragod,,3.91
29,Kerala,Pathanamthitta,,3.58
29,Kerala,Idukki,,3.32
29,Kerala,Wayanad,,2.45
30,Tamil Nadu,Chennai,Chennai,6.44
30,Tamil Nadu,Kancheepuram,,5.54
30,Tamil Nadu,Vellore,Vellore,5.46
30,Tamil Nadu,Thiruvallur,,5.17
30,Tamil Nadu,Salem,,4.83
30,Tamil Nadu,Viluppuram,,4.79
30,Tamil Nadu,Coimbatore,Coimbatore ,4.79
30,Tamil Nadu,Tirunelveli,,4.27
30,Tamil Nadu,Madurai,Madurai ,4.21
30,Tamil Nadu,Tiruchirappalli,Tiruchirappalli ,3.77
30,Tamil Nadu,Cuddalore,,3.61
30,Tamil Nadu,Tiruppur,,3.44
30,Tamil Nadu,Thiruvannamalai,,3.42
30,Tamil Nadu,Thanjavur,,3.33
30,Tamil Nadu,Erode,,3.12
30,Tamil Nadu,Dindigul,,2.99
30,Tamil Nadu,Virudhunagar,,2.69
30,Tamil Nadu,Krishnagiri,,2.61
30,Tamil Nadu,Kanyakumari,,2.59
30,Tamil Nadu,Thoothukkudi,,2.43
30,Tamil Nadu,Namakkal,,2.39
30,Tamil Nadu,Nagapattinam,,2.24
30,Tamil Nadu,Pudukkottai,,2.24
30,Tamil Nadu,Dharmapuri,,2.09
30,Tamil Nadu,Ramanathapuram,,1.88
30,Tamil Nadu,Sivaganga,,1.86
30,Tamil Nadu,Thiruvarur,,1.75
30,Tamil Nadu,Theni,,1.73
30,Tamil Nadu,Karur,,1.48
30,Tamil Nadu,Ariyalur,,1.05
30,Tamil Nadu,The Nilgiris,,1.02
30,Tamil Nadu,Perambalur,,0.78
